266	https://tinyurl.com/microbesigslides	Link to share PDF files as (PMID.pdf):	https://www.dropbox.com/request/BNpgquRv3F0jjvlSar6x	https://tinyurl.com/microbesigs																																																																																																																																							
Dropbox	PubMed	PMID	source within paper	Free-form description	significance threshold	LDA Score >	threshold corrected for MHT? yes/no	control (unexposed) sample size	case (exposed) sample size	case definition 	study design	matched on	confounders controlled for	antibiotics exclusion	Country	host species	body_site	condition	sequencing type	16S variable region	sequencing platform	date of curation	curator	revision 	contrast (list control group last)	UP or DOWN	statistical test	Pielou	Shannon index	Chao1	Simpson	Inverse Simpson	Richness	taxon 1	taxon 2	taxon 3	taxon 4	taxon 5	taxon 6	taxon 7	taxon 8	taxon 9	taxon 10	taxon 11	taxon 12	taxon 13	taxon 14	taxon 15	taxon 16	taxon 17	taxon 18	taxon 19	taxon 20	taxon 21	taxon 22	taxon 23	taxon 24	taxon 25	taxon 26	taxon 27	taxon 28	taxon 29	taxon 30	taxon 31	taxon 32	taxon 33	taxon 34	taxon 35	taxon 36	taxon 37	taxon 38	taxon 39	taxon 40	taxon 41	taxon 42	taxon 43	taxon 44	taxon 45	taxon 46	taxon 47	taxon 48	taxon 49	taxon 50	taxon 51	taxon 52	taxon 53	taxon 54	taxon 55	taxon 56	taxon 57	taxon 58	taxon 59	taxon 60	taxon 61	taxon 62	taxon 63	taxon 64	taxon 65	taxon 66	taxon 67	taxon 68	taxon 69	taxon 70	taxon 71	taxon 72	taxon 73	taxon 74	taxon 75	taxon 76	taxon 77	taxon 78	taxon 79	taxon 80	taxon 81	taxon 82	taxon 83	taxon 84	taxon 85	taxon 86	taxon 87	taxon 88	taxon 89	taxon 90	taxon 91	taxon 92	taxon 93	taxon 94	taxon 95	taxon 96	taxon 97	taxon 98	taxon 99	taxon 100	taxon 101	taxon 102	taxon 103	taxon 104	taxon 105	taxon 106
Dropbox	PubMed	31358825	Figure 4A, Text	Relative overall sample abundance in the 3 groups Binary logarithms of the relative abundance of a single genus in the normal, adenoma, and cancer groups. Each genus was present in more than 50% of the samples in the cancer group. Most of the significant differences were between the cancer group and the other 2 groups.	0.01		no	104	62	case = CRC positive during colonoscopy	case-control	NA	under 40 years old, used probiotics, evidence of infection, undergone colectomy, preoperative chemotherapy or radiotherapy, IBD or Chron's disease or ulerative colitis, any malignancy	2 months	China	human	feces	colorectal cancer	16S	V3-V4	Illumina	2019-08-16	Lora Kasselman		CRC vs controls	DOWN	Mann-Whitney (Wilcoxon)	NA	NA	NA	NA	NA	NO	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Cronobacter	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia																																																																																																			
Dropbox	PubMed	31358825	Figure 4A, Text	Relative overall sample abundance in the 3 groups Binary logarithms of the relative abundance of a single genus in the normal, adenoma, and cancer groups. Each genus was present in more than 50% of the samples in the cancer group. Most of the significant differences were between the cancer group and the other 2 groups.	0.01		no	104	117	case = adenomatous polyps	case-control	NA	under 40 years old, used probiotics, evidence of infection, undergone colectomy, preoperative chemotherapy or radiotherapy, IBD or Chron's disease or ulerative colitis, any malignancy	2 months	China	human	feces	colorectal cancer	16S	V3-V4	Illumina	2019-08-16	Lora Kasselman		Adenoma vs controls	UP	Mann-Whitney (Wilcoxon)	NA	NA	NA	NA	NA	NA																																																																																																										
Dropbox	PubMed	31358825	Figure 4A, Text	Relative overall sample abundance in the 3 groups Binary logarithms of the relative abundance of a single genus in the normal, adenoma, and cancer groups. Each genus was present in more than 50% of the samples in the cancer group. Most of the significant differences were between the cancer group and the other 2 groups.	0.01		no	104	117	case = adenomatous polyps	case-control	NA	under 40 years old, used probiotics, evidence of infection, undergone colectomy, preoperative chemotherapy or radiotherapy, IBD or Chron's disease or ulerative colitis, any malignancy	2 months	China	human	feces	colorectal cancer	16S	V3-V4	Illumina	2019-08-16	Lora Kasselman		Adenoma vs controls	DOWN	Mann-Whitney (Wilcoxon)	NA	NA	NA	NA	NA	NA																																																																																																										
Dropbox	PubMed	31065547	Figure 3, Supplementary Figure S3	The LDA score obtained by linear regression analysis (LDA), the larger the LDA score, the greater the influence of species abundance on the difference effect. LC, lung cancer	0.05		no	30	30		case-control	NA	NA	3 months	China	human	feces	lung cancer	16S	V3-V4	Illumina	2019-08-27	Rimsha Azhar		lung cancer vs. controls	UP	Linear Regression	NA	NO	NA	NA	NA	NO	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Macrococcus	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Intestinimonas	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Raoultella	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae																																																																																														
Dropbox	PubMed	31065547	Figure 3, Supplementary Figure S3	The LDA score obtained by linear regression analysis (LDA), the larger the LDA score, the greater the influence of species abundance on the difference effect. LC, lung cancer	0.05		no	30	30		case-control	NA	NA	3 months	China	human	feces	lung cancer	16S	V3-V4	Illumina	2019-08-27	Rimsha Azhar		lung cancer vs. controls	DOWN	Linear Regression	NA	NO	NA	NA	NA	NO	k__Bacteria|p__Actinobacteria|c__Actinobacteria	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lentibacillus	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Alteromonas	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Hungateiclostridiaceae|g__Ruminiclostridium	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Peptoniphilus	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Pseudobutyrivibrio	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Moryella	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus																																																																																				
Dropbox	PubMed																																																																																																																																										
Dropbox	PubMed																																																																																																																																										
Dropbox	PubMed	29327043	Table 2, Supplementary Table 6, Text	Median counts and Fold changes for the association between selected taxa and risk of HNSCC in a case-control study nested in 2 cohorts	0.05		no	254	129	case= histologically confirmed incident HNSCC including oral cavity, pharynx and larynx. (excluding salivary glands & nasopharynx)	case-control	age, sex, race/ethnicity, time since mouthwash collection	age, sex, race, cohort, smoking, alcohol and oral HPV-16 status	NA	United States of America	human	oral gland	squamous cell carcinoma	16S	V3-V4	Roche454	2019-09-04	Utsav Patel		HNSCC vs. controls	UP	DESeq2	NA	NA	NA	NA	NO	NO																																																																																																										
Dropbox	PubMed	29327043	Table 2, Supplementary Table 6, Text	Median counts and Fold changes for the association between selected taxa and risk of HNSCC in a case-control study nested in 2 cohorts	0.05		no	254	129	case= histologically confirmed incident HNSCC including oral cavity, pharynx and larynx. (excluding salivary glands & nasopharynx)	case-control	age, sex, race/ethnicity, time since mouthwash collection	age, sex, race, cohort, smoking, alcohol and oral HPV-16 status	NA	United States of America	human	oral gland	squamous cell carcinoma	16S	V3-V4	Roche454	2019-09-04	Utsav Patel		HNSCC vs. controls	DOWN	DESeq2	NA	NA	NA	NA	NO	NO	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Kingella	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_nanceiensis	k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_leadbetteri	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Selenomonas|s__Selenomonas_sputigena																																																																																																					
Dropbox	PubMed	29327043	Table 2, Supplementary Table 6, Text	Median counts and Fold changes for the association between selected taxa and risk of HNSCC in a case-control study nested in 2 cohorts	0.05		no	254	58	case= histologically confirmed incident HNSCC including oral cavity, pharynx and larynx. (excluding salivary glands & nasopharynx)	case-control	age, sex, race/ethnicity, time since mouthwash collection	age, sex, race, cohort, smoking, alcohol and oral HPV-16 status	NA	United States of America	human	oral gland	squamous cell carcinoma	16S	V3-V4	Roche454	2019-09-04	Utsav Patel		Larynx cancer cases vs. controls	UP	DESeq2	NA	NA	NA	NA	NA	NA																																																																																																										
Dropbox	PubMed	29327043	Table 2, Supplementary Table 6, Text	Median counts and Fold changes for the association between selected taxa and risk of HNSCC in a case-control study nested in 2 cohorts	0.05		no	254	58	case= histologically confirmed incident HNSCC including oral cavity, pharynx and larynx. (excluding salivary glands & nasopharynx)	case-control	age, sex, race/ethnicity, time since mouthwash collection	age, sex, race, cohort, smoking, alcohol and oral HPV-16 status	NA	United States of America	human	oral gland	squamous cell carcinoma	16S	V3-V4	Roche454	2019-09-04	Utsav Patel		Larynx cancer cases vs. controls	DOWN	DESeq2	NA	NA	NA	NA	NA	NA	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Kingella	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia	k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Kingella|s__Kingella_denitrificans	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sanguinis																																																																																																			
Dropbox	PubMed	29327043	Table 2, Supplementary Table 6, Text	Median counts and Fold changes for the association between selected taxa and risk of HNSCC in a case-control study nested in 2 cohorts	0.05		no	254	30	case= histologically confirmed incident HNSCC including oral cavity, pharynx and larynx. (excluding salivary glands & nasopharynx)	case-control	age, sex, race/ethnicity, time since mouthwash collection	age, sex, race, cohort, smoking, alcohol and oral HPV-16 status	NA	United States of America	human	oral gland	squamous cell carcinoma	16S	V3-V4	Roche454	2019-09-04	Utsav Patel		Pharynx cancer cases vs. controls	UP	DESeq2	NA	NA	NA	NA	NA	NA																																																																																																										
Dropbox	PubMed	29327043	Table 2, Supplementary Table 6, Text	Median counts and Fold changes for the association between selected taxa and risk of HNSCC in a case-control study nested in 2 cohorts	0.05		no	254	30	case= histologically confirmed incident HNSCC including oral cavity, pharynx and larynx. (excluding salivary glands & nasopharynx)	case-control	age, sex, race/ethnicity, time since mouthwash collection	age, sex, race, cohort, smoking, alcohol and oral HPV-16 status	NA	United States of America	human	oral gland	squamous cell carcinoma	16S	V3-V4	Roche454	2019-09-04	Utsav Patel		Pharynx cancer cases vs. controls	DOWN	DESeq2	NA	NA	NA	NA	NA	NA	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_denticariosi																																																																																																								
Dropbox	PubMed	29327043	Table 2, Supplementary Table 6, Text	Median counts and Fold changes for the association between selected taxa and risk of HNSCC in a case-control study nested in 2 cohorts	0.05		no	254	41	case= histologically confirmed incident HNSCC including oral cavity, pharynx and larynx. (excluding salivary glands & nasopharynx)	case-control	age, sex, race/ethnicity, time since mouthwash collection	age, sex, race, cohort, smoking, alcohol and oral HPV-16 status	NA	United States of America	human	oral gland	squamous cell carcinoma	16S	V3-V4	Roche454	2019-09-04	Utsav Patel		Oral cavity cancer cases vs. controls	UP	DESeq2	NA	NA	NA	NA	NA	NA	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces																																																																																																									
Dropbox	PubMed	29327043	Table 2, Supplementary Table 6, Text	Median counts and Fold changes for the association between selected taxa and risk of HNSCC in a case-control study nested in 2 cohorts	0.05		no	254	41	case= histologically confirmed incident HNSCC including oral cavity, pharynx and larynx. (excluding salivary glands & nasopharynx)	case-control	age, sex, race/ethnicity, time since mouthwash collection	age, sex, race, cohort, smoking, alcohol and oral HPV-16 status	NA	United States of America	human	oral gland	squamous cell carcinoma	16S	V3-V4	Roche454	2019-09-04	Utsav Patel		Oral cavity cancer cases vs. controls	DOWN	DESeq2	NA	NA	NA	NA	NA	NA	k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Parvimonas|s__Parvimonas_micra	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_sicca																																																																																																								
Dropbox	PubMed																																																																																																																																										
Dropbox	PubMed	27352007	Figure 2a, 2c, Table 2	Compositional differences in fecal microbiota between patients of MS compared to healthy controls using Illumina MiSeq	0.05		yes	43	60	case = multiple sclerosis	case-control	NA	NA	6 months	United States of America	human	feces	multiple sclerosis	16S	V4	Illumina	2020-02-26	Rimsha Azhar		multiple sclerosis vs. controls	UP	DESeq2	NA	NO	NA	NA	NA	NO	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Verrucosispora	k__Archaea|p__Euryarchaeota																																																																																																						
Dropbox	PubMed	27352007	Figure 2a, 2c, Table 2	Compositional differences in fecal microbiota between patients of MS compared to healthy controls using Illumina MiSeq	0.05		yes	43	60	case = multiple sclerosis	case-control	NA	NA	6 months	United States of America	human	feces	multiple sclerosis	16S	V4	Illumina	2020-02-26	Rimsha Azhar		multiple sclerosis vs. controls	DOWN	DESeq2	NA	NO	NA	NA	NA	NO	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas																																																																																																									
Dropbox	PubMed	27352007	Figure 2a, 2c, Table 2	Compositional differences in fecal microbiota between patients of MS compared to healthy controls using Roche 454	0.05		yes	43	60	case = multiple sclerosis	case-control	NA	NA	6 months	United States of America	human	feces	multiple sclerosis	16S	V3-V5	Roche454	2020-02-26	Rimsha Azhar		multiple sclerosis vs. controls	UP	DESeq2	NA	NO	NA	NA	NA	NO	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Verrucosispora	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia	k__Archaea|p__Euryarchaeota																																																																																																						
Dropbox	PubMed	27352007	Figure 2a, 2c, Table 2	Compositional differences in fecal microbiota between patients of MS compared to healthy controls using Roche 454	0.05		yes	43	60	case = multiple sclerosis	case-control	NA	NA	6 months	United States of America	human	feces	multiple sclerosis	16S	V3-V5	Roche454	2020-02-26	Rimsha Azhar		multiple sclerosis vs. controls	DOWN	DESeq2	NA	NO	NA	NA	NA	NO	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas																																																																																																									
Dropbox	PubMed	27352007	Figure 2a, 2c, Table 2	Compositional differences in fecal microbiota between patients of MS compared to healthy controls using Illumina MiSeq	0.05		yes	43	28	case = untreated multiple sclerosis	case-control	NA	NA	6 months	United States of America	human	feces	multiple sclerosis	16S	V4	Illumina	2020-02-26	Rimsha Azhar		untreated multiple sclerosis vs. controls	UP	DESeq2	NA	NO	NA	NA	NA	NO	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Verrucomicrobium	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia																																																																																																								
Dropbox	PubMed	27352007	Figure 2a, 2c, Table 2	Compositional differences in fecal microbiota between patients of MS compared to healthy controls using Illumina MiSeq	0.05		yes	43	28	case = untreated multiple sclerosis	case-control	NA	NA	6 months	United States of America	human	feces	multiple sclerosis	16S	V4	Illumina	2020-02-26	Rimsha Azhar		untreated multiple sclerosis vs. controls	DOWN	DESeq2	NA	NO	NA	NA	NA	NO	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella																																																																																																							
Dropbox	PubMed	27352007	Figure 2a, 2c, Table 2	compositional differences in fecal microbiota between patients of MS compared to healthy controls using Roche 454	0.05		yes	43	28	case = untreated multiple sclerosis	case-control	NA	NA	6 months	United States of America	human	feces	multiple sclerosis	16S	V3-V5	Roche454	2020-02-26	Rimsha Azhar		untreated multiple sclerosis vs. controls	UP	DESeq2	NA	NO	NA	NA	NA	NO	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Verrucomicrobium	k__Archaea|p__Euryarchaeota	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia																																																																																																						
Dropbox	PubMed	27352007	Figure 2a, 2c, Table 2	compositional differences in fecal microbiota between patients of MS compared to healthy controls using Roche 454	0.05		yes	43	28	case = untreated multiple sclerosis	case-control	NA	NA	6 months	United States of America	human	feces	multiple sclerosis	16S	V3-V5	Roche454	2020-02-26	Rimsha Azhar		untreated multiple sclerosis vs. controls	DOWN	DESeq2	NA	NO	NA	NA	NA	NO	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella																																																																																																							
Dropbox	PubMed	27352007	Figure 2c, Table 2	Compositional differences in fecal microbiota between treated patients of MS compared to untreated patients using Illumina MiSeq	0.05		yes	28	32	case = treated multiple sclerosis	case-control	NA	NA	6 months	United States of America	human	feces	multiple sclerosis	16S	V4	Illumina	2020-02-26	Rimsha Azhar		treated multiple sclerosis vs. untreated 	UP	DESeq2	NA	NO	NA	NA	NA	NO	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella																																																																																																								
Dropbox	PubMed	27352007	Figure 2c, Table 2	Compositional differences in fecal microbiota between treated patients of MS compared to untreated patients using Illumina MiSeq	0.05		yes	28	32	case = treated multiple sclerosis	case-control	NA	NA	6 months	United States of America	human	feces	multiple sclerosis	16S	V4	Illumina	2020-02-26	Rimsha Azhar		treated multiple sclerosis vs. untreated 	DOWN	DESeq2	NA	NO	NA	NA	NA	NO	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Sarcina																																																																																																									
Dropbox	PubMed	27352007	Figure 2c, Table 2	Compositional differences in fecal microbiota between treated patients of MS compared to untreated patients using Roche 454	0.05		yes	28	32	case = treated multiple sclerosis	case-control	NA	NA	6 months	United States of America	human	feces	multiple sclerosis	16S	V3-V5	Roche454	2020-02-26	Rimsha Azhar		treated multiple sclerosis vs. untreated 	UP	DESeq2	NA	NO	NA	NA	NA	NO	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella																																																																																																									
Dropbox	PubMed	27352007	Figure 2c, Table 2	Compositional differences in fecal microbiota between treated patients of MS compared to untreated patients using Roche 454	0.05		yes	28	32	case = treated multiple sclerosis	case-control	NA	NA	6 months	United States of America	human	feces	multiple sclerosis	16S	V3-V5	Roche454	2020-02-26	Rimsha Azhar		treated multiple sclerosis vs. untreated 	DOWN	DESeq2	NA	NO	NA	NA	NA	NO	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Sarcina																																																																																																									
Dropbox	PubMed																																																																																																																																										
Dropbox	PubMed																																																																																																																																										
Dropbox	PubMed	30633889	Figure 3	The effect size for each of the differentially abundant species was estimated using LDA	0.05		no	36	60	case = (PPROM) preterm premature rupture of the membranes	prospective cohort 	maternal age, gestational age, BMI, ethnicity	NA	9 months	United Kingdom	human	vagina	preterm premature rupture of the membranes	16S	V1-V2	Illumina	2019-09-08	Rimsha Azhar		PPROM vs. controls	UP	LEfSe	NA	NA	NA	NA	NO	NA	k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Anaerococcus	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_micraerophilus	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister	k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Peptoniphilus	k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Anaerococcus|s__Anaerococcus_tetradius	k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae	k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Parvimonas	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_bivia	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_timonensis	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	k__Bacteria|p__Firmicutes|c__Negativicutes	k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	k__Bacteria|p__Fusobacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Catonella	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	k__Bacteria|p__Bacteroidetes	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	k__Bacteria|p__Bacteroidetes|c__Bacteroidia	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	k__Bacteria|p__Firmicutes|c__Clostridia	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae																																																																																	
